service_id,date,exception_type
4_I12,20231101,2
4_I12,20230407,2
4_I12,20231206,2
4_I12,20230406,2
4_I12,20231109,2
4_I12,20230320,2
4_I12,20230501,2
4_I12,20230502,2
4_I12,20231225,2
4_I12,20230515,2
4_I12,20231208,2
4_I12,20230106,2
4_I12,20231012,2
4_I12,20230815,2
4_I13,20230320,1
4_I13,20230501,1
4_I13,20231225,1
4_I13,20230106,1
4_I13,20231206,1
4_I13,20231208,1
4_I13,20230406,1
4_I13,20230407,1
4_I13,20230515,1
4_I13,20230815,1
4_I13,20231012,1
4_I13,20231109,1
4_I13,20230502,1
4_I13,20231101,1
4_I14,20230106,2
4_I14,20230501,2
4_I14,20230815,2
4_I14,20231208,2
4_I14,20230502,2
4_I14,20231101,2
4_I14,20231109,2
4_I14,20230407,2
4_I14,20231206,2
4_I14,20230320,2
4_I14,20230515,2
4_I14,20231012,2
4_I14,20230406,2
4_I14,20231225,2
4_I15,20230501,2
4_I15,20230815,2
4_I15,20230502,2
4_I15,20231012,2
4_I15,20231101,2
4_I15,20231208,2
4_I15,20231225,2
4_I15,20230320,2
4_I15,20230515,2
4_I15,20230106,2
4_I15,20231206,2
4_I15,20231109,2
4_I15,20230406,2
4_I15,20230407,2
